event layer r x y z hbarcode barcode charge pt d0
0 0 290.653 283.675 63.3039 42.0265 154 10001 -1 10000 -0.0133555
0 0 295.794 284.058 82.4917 61.3432 957 10001 -1 10000 -0.0133555
0 0 289.37 283.563 57.68 100.827 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.864 283.607 59.901 119.613 200396 10001 -1 10000 -0.0133555
0 0 292.507 283.824 70.7441 106.261 858 10001 -1 10000 -0.0133555
0 0 294.015 283.935 76.3263 119.952 199 10001 -1 10000 -0.0133555
0 0 294.622 283.978 78.4759 83.9025 1001 10001 -1 10000 -0.0133555
0 0 288.928 283.522 55.6304 140.279 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.81 283.602 59.6629 139.645 1438 10001 -1 10000 -0.0133555
0 0 292.289 283.807 69.9026 122.879 9223372036854775807 10001 -1 10000 -0.0133555
0 0 293.683 283.911 75.1265 150.078 1667 10001 -1 10000 -0.0133555
0 0 294.444 283.965 77.851 161.834 9223372036854775807 10001 -1 10000 -0.0133555
0 0 287.292 283.357 47.382 191.18 230 10001 -1 10000 -0.0133555
0 0 293.038 283.864 72.752 176.93 986 10001 -1 10000 -0.0133555
0 0 293.103 283.868 72.9936 178.496 143 10001 -1 10000 -0.0133555
0 0 286.956 283.32 45.5324 244.281 9223372036854775807 10001 -1 10000 -0.0133555
0 0 287.89 283.42 50.5314 243.306 1619 10001 -1 10000 -0.0133555
0 0 290.047 283.623 60.7044 214.68 233 10001 -1 10000 -0.0133555
0 0 288.146 275.861 83.2412 -84.1775 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.272 275.363 88.6182 -98.1775 9223372036854775807 10001 -1 10000 -0.0133555
0 0 290.629 274.813 94.5678 -103.228 200868 10001 -1 10000 -0.0133555
0 0 291.115 274.626 96.5842 -103.402 1072 10001 -1 10000 -0.0133555
0 0 295.67 273.074 113.363 -84.5525 200047 10001 -1 10000 -0.0133555
0 0 287.236 276.298 78.5114 -53.1515 200768 10001 -1 10000 -0.0133555
