event,barcode,charge,pt,d0
285,10001,1,5053.63,252.942
286,10001,1,7094.96,8.2443
287,10001,1,8682.31,210.409
288,10001,1,6480.8,61.771
289,10001,-1,5288.97,290.865
290,10001,-1,6931.6,-33.6859
291,10001,-1,12560,21.7582
292,10001,-1,31431,-208.381
293,10001,1,13284.9,-236.7
294,10001,1,5884.06,45.854
295,10001,-1,12399.8,-104.42
296,10001,1,9178.98,-53.014
297,10001,-1,27830.5,-221.357
298,10001,1,6672.65,-146.223
299,10001,1,24815.2,-55.3206
300,10001,-1,8109.32,-103.954
301,10001,-1,12055.1,236.66
302,10001,1,10032.1,147.012
303,10001,-1,5089.29,117.318
304,10001,-1,34618.2,48.529
305,10001,1,5153.94,295.732
306,10001,1,16421.6,265.653
307,10001,-1,13128.2,238.495
308,10001,1,9143.65,-7.77835
309,10001,1,17466.1,10.1192
310,10001,1,9637.7,-23.7796
311,10001,-1,8791.18,124.018
312,10001,1,6001.95,-199.761
313,10001,1,20064.6,63.7715
314,10001,-1,6551.75,-105.385
315,10001,-1,20518.5,9.27394
316,10001,-1,9128.93,-153.509
317,10001,1,8295.71,128.136
318,10001,-1,6765.02,-290.75
319,10001,-1,5184.29,-137.914
320,10001,1,16701.1,256.458
321,10001,1,8994.77,-22.7945
322,10001,-1,8197.62,-242.71
323,10001,1,7022.97,81.8406
324,10001,-1,31561.7,36.5252
325,10001,-1,6768.23,-3.95796
326,10001,1,5092.79,-236.668
327,10001,-1,5644.14,256.699
328,10001,1,5769.2,-86.8612
329,10001,-1,6997.22,-1.16382
330,10001,1,7565.08,-196.402
331,10001,1,38909.7,-209.886
332,10001,1,5891.39,14.7699
333,10001,1,36918.3,-297.461
334,10001,-1,6731.27,-189.333
335,10001,1,5336.24,-79.0477
336,10001,-1,12246.8,-37.5931
337,10001,1,18244,123.736
338,10001,1,193768,193.492
339,10001,-1,27480.5,234.364
340,10001,-1,6726.07,-29.9621
341,10001,1,10096.6,266.678
342,10001,-1,10449.8,59.1864
343,10001,-1,23578.3,106.453
344,10001,1,5962.41,124.996
345,10001,1,49190.1,-267.734
346,10001,-1,13047.3,-202.497
347,10001,1,8284.59,109.008
348,10001,1,6399.28,159.729
349,10001,-1,9812.02,-258.234
350,10001,-1,5693.97,-208.947
351,10001,-1,7414.42,224.213
352,10001,1,6746.01,297.563
353,10001,-1,20509.9,-190.444
354,10001,1,5675.81,-120.354
355,10001,1,6494.35,-226.624
356,10001,-1,19227.1,82.7683
357,10001,-1,27195.6,-128.81
358,10001,-1,6011.7,150.21
